sample	locus	read_count	molecule_count
10R_S5_R1_001	MT1H	202	201
10R_S5_R1_001	NDRG1	13	13
10R_S5_R1_001	NNMT	22	22
10R_S5_R1_001	OLFM1	17	17
10R_S5_R1_001	PAEP	12	12
10R_S5_R1_001	PRUNE2	17	17
10R_S5_R1_001	S100P	9	9
10R_S5_R1_001	SDHA	139	138
10R_S5_R1_001	SERPING1	158	158
10R_S5_R1_001	SFRP4	108	107
10R_S5_R1_001	SLC1A1	2	2
10R_S5_R1_001	SPP1	199	197
10R_S5_R1_001	TBP	28	28
10R_S5_R1_001	TCN1	14	13
10R_S5_R1_001	TSPAN8	5	5
10R_S5_R1_001	unmatched	1030	484
11R_S6_R1_001	ABCC3	1	1
11R_S6_R1_001	ACADSB	17	17
11R_S6_R1_001	ANXA2	1935	1896
11R_S6_R1_001	ANXA4	369	369
11R_S6_R1_001	AOX1	4	4
11R_S6_R1_001	APOD	4	4
11R_S6_R1_001	AQP3	32	32
11R_S6_R1_001	ARG2	18	18
11R_S6_R1_001	ARID5B	9	9
11R_S6_R1_001	BCL6	24	24
11R_S6_R1_001	C10orf10	110	110
11R_S6_R1_001	C1R	142	141
11R_S6_R1_001	C4BPA	8	8
11R_S6_R1_001	CD55	125	125
11R_S6_R1_001	CEBPD	303	295
11R_S6_R1_001	CFD	55	55
11R_S6_R1_001	CLDN4	234	234
11R_S6_R1_001	COMP	0	0
11R_S6_R1_001	CP	137	137
11R_S6_R1_001	CRABP2	42	41
11R_S6_R1_001	CYC1	84	83
11R_S6_R1_001	DDX52	42	42
11R_S6_R1_001	DEFB1	307	305
11R_S6_R1_001	DKK1	10	10
11R_S6_R1_001	DPP4	9	9
11R_S6_R1_001	DYNLT3	436	431
11R_S6_R1_001	EDN3	22	22
11R_S6_R1_001	EDNRB	14	14
11R_S6_R1_001	EFNA1	77	77
11R_S6_R1_001	ENPEP	1	1
11R_S6_R1_001	ERCC_00004	1425	1391
11R_S6_R1_001	ERCC_00108	146	146
11R_S6_R1_001	ERCC_00116	27	26
11R_S6_R1_001	ERCC_00136	241	240
11R_S6_R1_001	G0S2	67	67
11R_S6_R1_001	GADD45A	43	43
11R_S6_R1_001	GBP2	313	312
11R_S6_R1_001	GNLY	374	372
11R_S6_R1_001	GPX3	26	26
11R_S6_R1_001	HABP2	2	2
11R_S6_R1_001	HMBS	20	20
11R_S6_R1_001	ID4	383	378
11R_S6_R1_001	IDO1	826	807
11R_S6_R1_001	IGFBP1	3	3
